test_id,time
0,1375000
1,1375000
2,1375000
3,1375000
4,1375000
5,1359375
6,1375000
7,1375000
8,1359375
9,1375000
10,1375000
11,1375000
12,1359375
13,1375000
14,1359375
15,1375000
16,1359375
17,1375000
18,1375000
19,1375000
20,1375000
21,1375000
22,1359375
23,1375000
24,1375000
25,1375000
26,1375000
27,1375000
28,1390625
29,1375000
30,1390625
31,1359375
